Board Number,Board Name,Latitude,Longitude,Enrolment,Funding,Region,Board Language,Board Type,Elementary,Secondary,Total,Funding_norm,Total_norm,Enrolment_norm
B28002,DSB Ontario North East,48.42508085714286,-80.89126571428572,6562,19559,North Region,English,Pub Dist Sch Brd (E/F),25.0,10.0,35,0.333716915995397,0.05226480836236934,0.025851622458597012
B28010,Algoma DSB,46.72060679555556,-84.01868096266668,9762,16757,North Region,English,Pub Dist Sch Brd (E/F),34.0,11.0,45,0.21429484720623962,0.06968641114982578,0.039750344210530884
B28029,Rainbow DSB,46.415759347826096,-81.18231608695652,12987,15926,North Region,English,Pub Dist Sch Brd (E/F),34.0,12.0,46,0.17887738140902698,0.07142857142857142,0.05375764972615175
B28037,Near North DSB,45.96362640316667,-79.55158105305556,9560,16549,North Region,English,Pub Dist Sch Brd (E/F),30.0,6.0,36,0.20542982568299023,0.05400696864111498,0.038872987399940065
B28045,Keewatin-Patricia DSB,50.096871304347836,-92.87879565217393,4226,21324,North Region,English,Pub Dist Sch Brd (E/F),17.0,6.0,23,0.4089417380556621,0.0313588850174216,0.015705555579685282
B28053,Rainy River DSB,48.72910214285715,-93.45905714285713,2034,23890,North Region,English,Pub Dist Sch Brd (E/F),11.0,3.0,14,0.5183054170395942,0.0156794425087108,0.006184931179610575
B28061,Lakehead DSB,48.48958384615386,-89.29187153846155,8560,15369,North Region,English,Pub Dist Sch Brd (E/F),22.0,4.0,26,0.155137876656864,0.036585365853658534,0.03452963685246072
B28070,Superior-Greenstone DSB,49.18639799999999,-87.07192,1189,32524,North Region,English,Pub Dist Sch Brd (E/F),10.0,5.0,15,0.8862890508460128,0.017421602787456445,0.0025147999669905357
B28100,CS public du Nord-Est de l'Ontario,47.80849461111111,-81.00265277777778,2024,27268,North Region,French,Pub Dist Sch Brd (E/F),10.0,8.0,18,0.6622767762008268,0.02264808362369338,0.006141497674135782
B28118,CS public du Grand Nord de l'Ontario,47.01047988264,-82.53474010599999,2629,27517,North Region,French,Pub Dist Sch Brd (E/F),17.0,8.0,25,0.6728892298512552,0.03484320557491289,0.00876922475536078
B29009,Northeastern CDSB,48.57453000000001,-80.7157,2232,20295,North Region,English,Cath Dist Sch Brd (E/F),12.0,1.0,13,0.3650854536930486,0.013937282229965157,0.0070449145880114835
B29017,Nipissing-Parry Sound CDSB,46.29005833333333,-79.41571666666667,2706,18826,North Region,English,Cath Dist Sch Brd (E/F),11.0,1.0,12,0.30247623918509997,0.012195121951219513,0.00910366274751669
B29025,Huron-Superior CDSB,46.89888694117648,-83.82544952941177,4016,18334,North Region,English,Cath Dist Sch Brd (E/F),16.0,1.0,17,0.2815070536589524,0.020905923344947737,0.01479345196471462
B29033,Sudbury CDSB,46.4968081575,-81.005727274,6325,15731,North Region,English,Cath Dist Sch Brd (E/F),16.0,4.0,20,0.1705664237309807,0.02613240418118467,0.02482224837884441
B29041,Northwest CDSB,49.184454,-92.78850000000001,1189,22939,North Region,English,Cath Dist Sch Brd (E/F),5.0,,5,0.4777735157481993,0.0,0.0025147999669905357
B29050,Kenora CDSB,49.98453166666666,-94.36896666666667,1233,22874,North Region,English,Cath Dist Sch Brd (E/F),5.0,1.0,6,0.47500319652218387,0.0017421602787456446,0.0027059073910796266
B29068,Thunder Bay CDSB,48.414844499999994,-89.25720000000001,6905,16195,North Region,English,Cath Dist Sch Brd (E/F),18.0,2.0,20,0.19034224097515237,0.02613240418118467,0.027341391696382424
B29076,Superior North CDSB,49.11174,-87.07363749999999,610,33671,North Region,English,Cath Dist Sch Brd (E/F),8.0,,8,0.935174530111239,0.005226480836236934,0.0
B29106,CSDC des Grandes Rivières,48.67972491888887,-81.4256624786111,5494,21514,North Region,French,Cath Dist Sch Brd (E/F),28.0,8.0,36,0.41703959425478415,0.05400696864111498,0.02121292407388908
B29114,CSDC Franco-Nord,46.359368749999994,-79.43880625,2535,23563,North Region,French,Cath Dist Sch Brd (E/F),13.0,3.0,16,0.5043685803179474,0.01916376306620209,0.008360949803897722
B29122,CSDC du Nouvel-Ontario,46.77669884210527,-81.94279910526318,5986,20327,North Region,French,Cath Dist Sch Brd (E/F),28.0,10.0,38,0.36644930315816393,0.05749128919860627,0.023349852543248912
B29130,CSDC des Aurores boréales,49.339209090909094,-89.05260909090909,815,35192,North Region,French,Cath Dist Sch Brd (E/F),10.0,1.0,11,1.0,0.010452961672473868,0.000890386862233264
B66001,Bluewater DSB,44.371286999999995,-81.07853500000002,17273,13550,West Region,English,Pub Dist Sch Brd (E/F),40.0,10.0,50,0.07761155862421686,0.078397212543554,0.07237325017264819
B66010,Avon Maitland DSB,43.528231688888894,-81.21921553333331,14758,14053,West Region,English,Pub Dist Sch Brd (E/F),36.0,9.0,45,0.09904956740399778,0.06968641114982578,0.061449723545737654
B66028,Greater Essex County DSB,42.23196675592538,-82.91936197910448,35845,12781,West Region,English,Pub Dist Sch Brd (E/F),54.0,14.0,68,0.04483655116566509,0.10975609756097561,0.15303795654043442
B66036,Lambton Kent DSB,42.728232656249986,-82.21380625000005,21109,13359,West Region,English,Pub Dist Sch Brd (E/F),52.0,12.0,64,0.06947108212930998,0.10278745644599303,0.08903434287277892
B66044,Thames Valley DSB,42.969871018750005,-81.17712262500001,80220,12664,West Region,English,Pub Dist Sch Brd (E/F),131.0,29.0,160,0.03984997655883732,0.2700348432055749,0.34577413708482996
B66052,Toronto DSB,43.721266079447325,-79.37916763385142,230847,13428,Toronto Region,English,Pub Dist Sch Brd (E/F),470.0,109.0,579,0.07241188253846481,1.0,1.0
B66060,Durham DSB,43.92214415569228,-78.97563731253847,74094,11991,East Region,English,Pub Dist Sch Brd (E/F),111.0,19.0,130,0.01116651749563142,0.21777003484320556,0.31916677163097157
B66079,Kawartha Pine Ridge DSB,44.126451510573034,-78.31839748157302,34177,12911,East Region,English,Pub Dist Sch Brd (E/F),73.0,16.0,89,0.050377189617695946,0.14634146341463414,0.14579324782723888
B66087,Trillium Lakelands DSB,44.7655375,-78.94877708333333,16735,13796,Central Region,English,Pub Dist Sch Brd (E/F),41.0,8.0,49,0.08809615138729063,0.07665505226480836,0.0700365275781043
B66095,York Region DSB,43.92554002031309,-79.41074505911212,124808,12354,Central Region,English,Pub Dist Sch Brd (E/F),180.0,34.0,214,0.026637684865532966,0.3641114982578397,0.5394354512958386
B66109,Simcoe County DSB,44.40188052443809,-79.72599604476189,54367,12346,Central Region,English,Pub Dist Sch Brd (E/F),89.0,16.0,105,0.026296722499254147,0.17421602787456447,0.2334854953808467
